seed,r64,r32,s16,e8,f4,ncg
1,10.06944444,11.45833333,13.05555556,15.90277778,17.5,18.40277778
2,10.625,13.68055556,15.48611111,17.91666667,19.09722222,19.65277778
3,11.52777778,14.79166667,17.43055556,18.81944444,19.23611111,19.72222222
4,12.15277778,15.34722222,18.54166667,19.09722222,19.79166667,19.93055556
5,13.54166667,16.59722222,19.375,19.51388889,19.79166667,23
6,13.75,17.01388889,18.95833333,19.79166667,19.86111111,19.93055556
7,13.95833333,18.05555556,19.30555556,19.79166667,19.93055556,19.93055556
8,15.06944444,19.02777778,19.44444444,19.65277778,19.79166667,19.93055556
9,14.93055556,19.51388889,19.72222222,19.93055556,23,23
10,16.04166667,18.40277778,19.44444444,19.93055556,23,23
11,16.25,18.33333333,19.375,19.65277778,23,23
12,16.45833333,18.47222222,19.86111111,23,23,23
13,17.84722222,19.58333333,23,23,23,23
14,18.47222222,19.86111111,23,23,23,23
15,19.375,19.86111111,23,23,23,23
16,19.93055556,23,23,23,23,23